date,open_price,high_price,low_price,close_price,volume,company_id
2024-01-11,383.135,387.781,377.556,381.776,28059111.024808,2
2024-01-12,382.628,385.795,381.795,385.587,21823132.300984,2
2024-01-16,390.738,391.106,384.745,387.374,27405683.042396,2
2024-01-17,385.101,387.215,381.953,386.579,22400371.784382,2
2024-01-18,388.813,391.066,387.225,390.946,23566990.859518,2
2024-01-19,392.823,395.711,390.58,395.711,29550470.442001,2
2024-01-22,397.051,397.647,390.668,393.566,27218930.899419,2
2024-01-23,392.814,396.416,391.006,395.939,20679371.891256,2
2024-01-24,398.559,402.619,397.477,399.572,25052904.858821,2
2024-01-25,401.319,403.989,399.541,401.865,21178348.478703,2
2024-01-26,401.369,403.155,399.443,400.931,17936401.558277,2
2024-01-29,403.045,406.936,401.329,406.68,24693520.375224,2
2024-01-30,409.2,409.985,403.433,405.558,33727951.238365,2
2024-01-31,403.939,412.237,394.262,394.628,48229070.872832,2
2024-02-01,398.848,404.972,398.818,400.783,30886980.510471,2
2024-02-02,400.813,409.586,400.565,408.168,28467969.7242,2
2024-02-05,406.857,408.108,400.991,402.639,25541867.116233,2
2024-02-06,402.868,404.942,399.92,402.48,18520086.885091,2
2024-02-07,404.417,411.224,404.377,410.977,22507585.564424,2
2024-02-08,410.977,412.475,409.468,411.037,21383976.727065,2
2024-02-09,412.169,417.697,412.009,417.428,22197602.758217,2
2024-02-12,417.433,417.617,411.672,412.178,21361473.701346,2
2024-02-13,401.934,407.027,400.396,403.305,28033007.273178,2
2024-02-14,405.79,407.55,402.31,407.203,20515808.617931,2
2024-02-15,405.86,406.844,402.031,404.289,21948145.862367,2
2024-02-16,405.68,406.009,401.186,401.803,22421761.881079,2
2024-02-20,400.987,402.231,395.786,400.54,24444482.505233,2
2024-02-21,397.934,400.043,395.001,399.933,18735745.684388,2
2024-02-22,407.898,410.524,406.287,409.351,27161616.709583,2
2024-02-23,413.348,413.536,406.686,408.047,16387433.028414,2
2024-02-26,409.156,409.858,405.084,405.263,16284483.867534,2
2024-02-27,405.71,406.039,401.594,405.203,14919178.117587,2
2024-02-28,405.895,407.013,403.055,405.442,13257190.85437,2
2024-02-29,406.357,411.886,403.652,411.329,32126750.134414,2
2024-03-01,408.972,413.546,408.584,413.179,17923581.248555,2
2024-03-04,411.13,415.018,410.017,412.602,17694814.162582,2
2024-03-05,411.648,411.935,398.402,400.401,27070415.180889,2
2024-03-06,400.718,402.897,396.165,399.844,22469683.612305,2
2024-03-07,403.852,407.49,399.993,406.854,18823643.75719,2
2024-03-08,405.68,408.127,402.071,403.95,18103326.456956,2
2024-03-11,401.506,403.414,399.018,402.261,16211322.124304,2
2024-03-12,405.343,413.249,404.517,412.959,22583171.652256,2
2024-03-13,415.764,415.844,409.151,412.782,17212092.27078,2
2024-03-14,417.892,425.43,415.654,422.844,34349202.629329,2
2024-03-15,416.947,420.239,410.484,414.093,45333172.352342,2
2024-03-18,411.935,418.379,411.468,414.989,20218937.042815,2
2024-03-19,415.496,419.31,413.229,419.055,19949369.008317,2
2024-03-20,419.642,423.58,418.311,422.854,17960427.100575,2
2024-03-21,427.428,428.412,424.774,426.971,21415869.115329,2
2024-03-22,427.299,427.458,423.69,426.345,17747626.215271,2
2024-03-25,422.864,425.021,419.255,420.498,18161917.797624,2
2024-03-26,423.233,423.61,418.995,419.295,16819615.564733,2
2024-03-27,422.069,422.079,416.669,419.075,16798830.441496,2
2024-03-28,418.608,419.512,416.778,418.37,21994038.256001,2
2024-04-01,421.582,425.5,419.862,422.199,16407627.853749,2
2024-04-02,417.764,420.02,415.506,419.085,18012625.726142,2
2024-04-03,417.385,420.896,416.743,418.101,16594977.54722,2
2024-04-04,422.616,426.275,415.237,415.546,19479705.069256,2
2024-04-05,417.664,424.127,415.983,423.143,16647769.487544,2
2024-04-08,422.794,424.894,420.935,422.287,14341271.443273,2
2024-04-09,424.057,425.351,419.265,423.898,12582585.942106,2
2024-04-10,419.832,421.661,417.355,420.896,16307689.513855,2
2024-04-11,423.44,426.971,420.0,425.539,18067362.532126,2
2024-04-12,421.681,422.804,417.424,419.542,19361922.033836,2
2024-04-15,424.217,424.435,411.121,411.329,20387439.439383,2
2024-04-16,412.254,416.063,411.418,412.264,16859809.119846,2
2024-04-17,414.919,416.54,408.037,409.538,15944564.792763,2
2024-04-18,408.337,409.588,401.694,402.011,21148067.952064,2
2024-04-19,401.773,403.125,395.548,396.89,30167538.324082,2
2024-04-22,397.845,400.6,393.538,398.72,20400851.369743,2
2024-04-23,401.976,405.919,400.808,405.293,15822901.076586,2
2024-04-24,407.272,410.165,404.507,406.775,15149970.518679,2
2024-04-25,391.829,397.656,385.862,396.811,40814474.091032,2
2024-04-26,409.868,410.692,403.493,404.049,29861485.454509,2
2024-04-29,402.985,404.049,396.959,400.003,19692107.72974,2
2024-04-30,399.247,399.914,386.995,387.155,28943074.435613,2
2024-05-01,390.417,399.476,388.129,392.734,23694860.484101,2
2024-05-02,395.438,397.696,392.446,395.618,17808859.315034,2
2024-05-03,400.033,404.876,399.614,404.389,17544743.742588,2
2024-05-06,406.476,411.618,404.099,411.229,17092130.060651,2
2024-05-07,412.343,412.353,406.804,407.053,20130695.048578,2
2024-05-08,405.89,409.927,404.441,408.247,11858559.921833,2
2024-05-09,408.277,410.414,406.814,410.017,14772257.293896,2
2024-05-10,410.628,413.059,409.499,412.422,13477578.123616,2
2024-05-13,415.674,416.011,408.524,411.409,15526972.771373,2
2024-05-14,409.718,415.157,409.251,414.233,15194193.586048,2
2024-05-15,416.315,422.202,415.687,421.475,22324213.483965,2
2024-05-16,420.2,423.807,418.756,419.394,17596798.394309,2
2024-05-17,420.937,421.316,416.439,418.616,15410695.039903,2
2024-05-20,418.616,425.151,418.397,423.727,16334095.69474,2
2024-05-21,425.206,431.328,423.239,427.412,21534941.608079,2
2024-05-22,428.458,430.77,425.51,428.887,18142516.4187,2
2024-05-23,431.328,431.955,423.811,425.381,17277225.185242,2
2024-05-24,425.569,429.419,422.8,428.528,11900425.843171,2
