date,open_price,high_price,low_price,close_price,volume,company_id
2024-03-07,189.91,190.5,186.63,187.87,7618277,4
2024-03-08,188.44,190.455,187.92,188.22,6172199,4
2024-03-11,187.28,188.44,186.22,188.29,5762569,4
2024-03-12,188.95,190.16,187.91,189.84,5708384,4
2024-03-13,190.36,191.73,189.84,191.38,7795535,4
2024-03-14,191.03,191.63,187.103,187.97,10310948,4
2024-03-15,186.48,190.94,186.48,190.3,17214229,4
2024-03-18,190.63,192.7,189.89,192.66,9013843,4
2024-03-19,192.71,193.93,192.38,193.79,8478717,4
2024-03-20,194.19,196.56,193.61,196.33,9367043,4
2024-03-21,196.52,199.43,196.33,199.06,11203796,4
2024-03-22,199.01,200.48,196.54,196.62,8108840,4
2024-03-25,196.6,196.94,194.36,194.82,8620015,4
2024-03-26,194.59,196.66,194.0554,195.73,5961484,4
2024-03-27,196.5,199.6,196.38,199.52,8725757,4
2024-03-28,199.49,200.72,198.54,200.3,8628313,4
2024-04-01,199.99,200.94,198.565,198.94,7309009,4
2024-04-02,198.39,199.78,198.08,198.86,7014683,4
2024-04-03,199.04,199.56,197.7,198.3,9353426,4
2024-04-04,199.15,199.68,195.55,195.65,9243793,4
2024-04-05,196.16,198.1224,195.11,197.45,6532278,4
2024-04-08,197.62,198.98,197.62,198.48,8000963,4
2024-04-09,198.07,198.88,194.91,197.15,7358631,4
2024-04-10,195.55,197.07,194.18,195.47,7681377,4
2024-04-11,196.0,196.57,193.24,195.43,10137699,4
2024-04-12,188.32,188.93,182.54,182.79,31532308,4
2024-04-15,184.5,187.46,182.195,182.89,14766592,4
2024-04-16,182.9,183.16,179.65,180.8,16451801,4
2024-04-17,181.37,182.4199,179.2,180.08,9017093,4
2024-04-18,181.1,183.36,179.97,181.25,9557720,4
2024-04-19,182.4,185.88,181.41,185.8,13379451,4
2024-04-22,185.99,190.125,185.98,189.41,11529668,4
2024-04-23,191.13,192.225,190.52,192.14,9144372,4
2024-04-24,190.53,193.23,190.17,193.08,6964905,4
2024-04-25,192.25,193.935,191.18,193.37,9802265,4
2024-04-26,193.57,194.87,193.06,193.49,6413655,4
2024-04-29,193.48,194.26,192.43,193.28,5411129,4
2024-04-30,192.81,194.99,191.64,191.74,8153681,4
2024-05-01,192.27,194.46,190.79,191.86,7446703,4
2024-05-02,193.07,193.5,189.52,191.66,6501657,4
2024-05-03,192.0,192.529,188.46,190.51,8922775,4
2024-05-06,191.73,192.2,189.815,192.0,7911134,4
2024-05-07,191.7,192.93,191.65,191.75,7688771,4
2024-05-08,191.0,196.65,191.0,195.65,9227561,4
2024-05-09,195.17,197.59,195.1,197.5,7977291,4
2024-05-10,198.54,199.3399,198.27,198.77,7529790,4
2024-05-13,198.8,199.85,198.04,198.73,7049241,4
2024-05-14,199.0,201.58,198.16,201.51,8596175,4
2024-05-15,202.01,202.69,199.77,202.11,8369975,4
2024-05-16,202.22,204.48,201.9901,202.47,8497927,4
2024-05-17,203.81,205.05,202.8149,204.79,9260490,4
2024-05-20,204.39,205.88,195.4,195.58,17373253,4
2024-05-21,197.0,199.9,196.6,199.52,14420799,4
2024-05-22,199.0,200.935,197.69,198.31,9425338,4
2024-05-23,197.81,198.3,196.07,196.92,8069445,4
2024-05-24,197.75,200.76,197.56,200.71,7356233,4
2024-05-28,199.86,200.41,198.66,199.5,6910206,4
2024-05-29,198.0,198.99,196.89,198.11,6120045,4
2024-05-30,198.56,199.85,198.4,199.33,6829719,4
2024-05-31,199.3,203.3,198.35,202.63,14417885,4
2024-06-03,202.31,202.42,199.19,201.82,6444309,4
2024-06-04,200.16,201.98,198.28,199.16,6848338,4
2024-06-05,199.76,199.82,196.92,197.26,8351597,4
2024-06-06,197.26,198.02,195.33,196.91,7640289,4
2024-06-07,197.43,200.92,197.01,199.95,6964498,4
2024-06-10,199.24,200.84,198.44,199.61,6071201,4
2024-06-11,197.91,197.94,193.6,194.36,9235302,4
2024-06-12,196.0,196.72,191.31,191.53,12751329,4
2024-06-13,192.32,194.58,190.88,193.66,8587786,4
2024-06-14,191.45,194.86,191.42,193.78,6874029,4
2024-06-17,193.48,195.58,192.64,194.98,8725445,4
2024-06-18,194.6,197.96,194.13,197.0,9022971,4
2024-06-20,196.39,199.45,196.11,198.67,8731062,4
2024-06-21,196.71,197.17,194.22,196.3,20972495,4
2024-06-24,197.81,199.23,197.1,198.88,9785929,4
2024-06-25,198.09,200.07,197.74,198.07,6915909,4
2024-06-26,197.45,197.94,196.275,197.43,7758582,4
2024-06-27,197.44,199.86,196.9,199.17,7913453,4
2024-06-28,200.01,202.6,199.3018,202.26,15307616,4
2024-07-01,202.84,207.09,202.66,205.45,10205836,4
2024-07-02,205.29,208.86,204.77,208.83,7802936,4
2024-07-03,209.55,210.38,207.65,208.69,5560925,4
2024-07-05,206.99,207.37,204.52,204.79,8093096,4
2024-07-08,205.04,206.9,203.97,205.17,8706967,4
2024-07-09,205.63,209.76,205.45,207.63,9060258,4
2024-07-10,206.14,207.97,205.58,207.8,8328493,4
2024-07-11,206.21,208.1,205.38,207.45,10666937,4
2024-07-12,204.0,207.45,202.1,204.94,15443441,4
